Description,Prices,Rating,ReviewCount,URL
Amazon Essentials Men's Regular-fit Short-Sleeve Poplin Shirt,$16.90,4.5 out of 5 stars,"11,203",https://www.amazon.com//Amazon-Essentials-Regular-Fit-Short-Sleeve-X-Large/dp/B0738FQTZN/ref=sr_1_27?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-27
Calvin Klein Men's Long Sleeve Lightweight Cotton Linen Button Down Shirt,$24.19,4.2 out of 5 stars,176,https://www.amazon.com//Calvin-Klein-Sleeve-Lightweight-Cotton/dp/B086DLVJ5Z/ref=sr_1_28?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-28
LecGee Men's Linen Shirt Casual Regular Fit Short Sleeve Button Down Beach Shirt,$22.99,4.2 out of 5 stars,210,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08978763VXW7J5CTXXOQ&url=%2FLecGee-Cotton-Regular-Sleeve-Button%2Fdp%2FB089T55177%2Fref%3Dsr_1_29_sspa%3Fcrid%3D1AZQR15WRQJRI%26dchild%3D1%26keywords%3Dcasual%2BShirts%26qid%3D1621928577%26sprefix%3Dshirt%2Bfor%2Bmen%252Caps%252C446%26sr%3D8-29-spons%26psc%3D1&qualifier=1621928577&id=6123135377136169&widgetName=sp_mtf
Long Round Hem V-Neck Button Casual Short/Long Sleeve Henley Heather T Shirt Top,$9.99,,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0917322LFE3WXEERZHT&url=%2FV-Neck-Button-Casual-Sleeve-Heather%2Fdp%2FB091YGMDF5%2Fref%3Dsr_1_30_sspa%3Fcrid%3D1AZQR15WRQJRI%26dchild%3D1%26keywords%3Dcasual%2BShirts%26qid%3D1621928577%26sprefix%3Dshirt%2Bfor%2Bmen%252Caps%252C446%26sr%3D8-30-spons%26psc%3D1&qualifier=1621928577&id=6123135377136169&widgetName=sp_mtf
"CQR Men's Regular Fit Long Sleeve Shirts, 100% Cotton Button-Up Casual Poplin Shirt",$18.98,,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A093294420LCOSWTW2X2D&url=%2FCQR-Regular-Sleeve-Shirts-Button-Up%2Fdp%2FB08RDD3G3R%2Fref%3Dsr_1_31_sspa%3Fcrid%3D1AZQR15WRQJRI%26dchild%3D1%26keywords%3Dcasual%2BShirts%26qid%3D1621928577%26sprefix%3Dshirt%2Bfor%2Bmen%252Caps%252C446%26sr%3D8-31-spons%26psc%3D1&qualifier=1621928577&id=6123135377136169&widgetName=sp_mtf
Amazon Brand - Goodthreads Men's Standard-Fit Short-Sleeve Plaid Poplin Shirt,$25.00,4.3 out of 5 stars,"3,666",https://www.amazon.com//Goodthreads-Standard-Fit-Short-Sleeve-Poplin-indigo/dp/B07DZV3VWZ/ref=sr_1_32?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-32
MIHOLL Womens Casual Tops Sleeveless Cute Twist Knot Waffle Knit Shirts Tank Tops,$16.14,4.3 out of 5 stars,"10,201",https://www.amazon.com//MIHOLL-Womens-Casual-Sleeveless-Waffle/dp/B07Q6S3WZ1/ref=sr_1_33?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-33
Nautica Men's Short Sleeve Solid Cotton Pique Polo Shirt,$32.79,4.5 out of 5 stars,"3,095",https://www.amazon.com//Nautica-Short-Sleeve-Solid-Cotton/dp/B07BN4WN6Z/ref=sr_1_34?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-34
Van Heusen Men's Big and Tall Wrinkle Free Short Sleeve Button Down Check Shirt,$21.99,4.6 out of 5 stars,980,https://www.amazon.com//Van-Heusen-Wrinkle-Sleeve-3X-Large/dp/B07B4RXQVP/ref=sr_1_35?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-35
Nautica Men's Classic Short Sleeve Solid Polo Shirt,$26.99,4.6 out of 5 stars,"1,022",https://www.amazon.com//Nautica-Classic-Sleeve-Burgundy-XX-Large/dp/B07HR8C7FP/ref=sr_1_36?crid=1AZQR15WRQJRI&dchild=1&keywords=casual+Shirts&qid=1621928577&sprefix=shirt+for+men%2Caps%2C446&sr=8-36
